Ngày đăng bài,Tên,Năm sản xuất,Xuất xứ,Địa điểm,Kiểu dáng,Số km đã đi,Hộp số,Trạng thái,Nhiên Liệu,Giá
01/10/2025,Lexus RX 300 T 2022,2022,Nhập khẩu,Thanh Xuân - Hà Nội,SUV,60.000 km,Số tự động,Xe cũ,Máy xăng,2 tỉ 800 triệu
22/09/2025,Toyota Previa 2010,2010,Nhập khẩu,Quận 10 - Tp.HCM,Van/Minivan,50.000 km,Số tự động,Xe cũ,Máy xăng,589 triệu
07/10/2025,Mercedes-Benz C200 Avantgarde Plus 2022,2022,Trong nước,Bình Tân - Tp.HCM,Sedan,16.000 km,Số tự động,Xe cũ,Máy xăng,1 tỉ 379 triệu
25/09/2025,Hyundai Elantra 2014,2014,Nhập khẩu,An Lão - Hải Phòng,Sedan,80.000 km,Số tự động,Xe cũ,Máy xăng,318 triệu
16/10/2025,Mercedes-Benz GLC 300 4Matic 2023,2023,Trong nước,Long Biên - Hà Nội,SUV,26.000 km,Số tự động,Xe cũ,Máy xăng,2 tỉ 199 triệu
12/10/2025,Hyundai Santa Fe 2.4L Xăng Cao cấp 2016,2016,Trong nước,Hoàng Mai - Hà Nội,SUV,85.689 km,Số tự động,Xe cũ,Máy xăng,569 triệu
13/10/2025,Mazda 3 1.5L Sedan 2019,2019,Trong nước,Hoàng Mai - Hà Nội,Sedan,65.689 km,Số tự động,Xe cũ,Máy xăng,450 triệu
01/10/2025,VinFast LUX A2.0 Cao cấp 2019,2019,Trong nước,Hoàng Mai - Hà Nội,Sedan,67.899 km,Số tự động,Xe cũ,Máy xăng,499 triệu
16/10/2025,Mercedes-Benz GLC 200 4Matic 2021,2021,Nhập khẩu,Long Biên - Hà Nội,SUV,52.000 km,Số tự động,Xe cũ,Máy xăng,1 tỉ 299 triệu
26/09/2025,Mazda 3 Sedan 1.5L Luxury 2020,2020,Trong nước,Hoàng Mai - Hà Nội,Sedan,3.200 km,Số tự động,Xe cũ,Máy xăng,499 triệu
01/10/2025,Mazda 3 Sedan 1.5L Luxury 2020,2020,Trong nước,Đồ Sơn - Hải Phòng,Sedan,3.200 km,Số tự động,Xe cũ,Máy xăng,495 triệu
07/10/2025,Hyundai Grand i10 2015,2015,Nhập khẩu,Tĩnh Gia - Thanh Hóa,Hatchback,110.000 km,Số sàn,Xe cũ,Máy xăng,145 triệu
03/10/2025,Hyundai Grand i10 2014,2014,Nhập khẩu,Hà Tĩnh - Hà Tĩnh,Hatchback,111.000 km,Số sàn,Xe cũ,Máy xăng,115 triệu
26/09/2025,Hyundai Grand i10 2014,2014,Nhập khẩu,Can Lộc - Hà Tĩnh,Hatchback,89.000 km,Số sàn,Xe cũ,Máy xăng,145 triệu
25/09/2025,Hyundai Grand i10 2014,2014,Nhập khẩu,Vinh - Nghệ An,Hatchback,110.000 km,Số sàn,Xe cũ,Máy xăng,115 triệu
21/09/2025,Hyundai Grand i10 1.0 AT 2014,2014,Nhập khẩu,Vinh - Nghệ An,Hatchback,81.000 km,Số tự động,Xe cũ,Máy xăng,235 triệu
16/10/2025,Ford Ranger Wildtrak 2.0l bi-turbo 4x4 10 AT 2019,2019,Nhập khẩu,Hoàng Mai - Hà Nội,Bán tải,68.000 km,Số tự động,Xe cũ,Máy dầu,585 triệu
21/09/2025,Ford Everest Titanium 2.0 AT 4x2 2023,2023,Nhập khẩu,Hoàng Mai - Hà Nội,SUV,22.000 km,Số tự động,Xe cũ,Máy dầu,1 tỉ 225 triệu
16/10/2025,Mitsubishi Xpander AT Premium 2024,2024,Trong nước,Đồ Sơn - Hải Phòng,MPV,25.000 km,Số tự động,Xe cũ,Máy xăng,575 triệu
14/10/2025,Kia Cerato 2.0 AT Premium 2020,2020,Trong nước,Hoàng Mai - Hà Nội,Sedan,72.000 km,Số tự động,Xe cũ,Máy xăng,470 triệu
16/10/2025,Mazda 3 Sedan 1.5L Luxury 2020,2020,Trong nước,Hưng Yên - Hưng Yên,Sedan,33.000 km,Số tự động,Xe cũ,Máy xăng,495 triệu
16/10/2025,Ford Everest Titanium 2.0 AT 4x2 2023,2023,Nhập khẩu,Hoàng Mai - Hà Nội,SUV,29.000 km,Số tự động,Xe cũ,Máy dầu,1 tỉ 219 triệu
28/09/2025,Ford Ranger Wildtrak 2.2 4x2 AT 2014,2014,Trong nước,Đồ Sơn - Hải Phòng,Bán tải,140.000 km,Số tự động,Xe cũ,Máy dầu,315 triệu
11/10/2025,Toyota Vios 1.5 G CVT 2022,2022,Trong nước,Hoàng Mai - Hà Nội,Sedan,61.000 km,Số tự động,Xe cũ,Máy xăng,430 triệu
19/09/2025,Ford Transit 9 Chỗ 2.4 Diesel 2018,2018,Trong nước,Tân Phú - Tp.HCM,Van/Minivan,130.000 km,Số sàn,Xe cũ,Máy dầu,465 triệu
29/09/2025,Ford Focus 1.5L EcoBoost Sport 2018,2018,Nhập khẩu,Tân Phú - Tp.HCM,Hatchback,76.000 km,Số tự động,Xe cũ,Máy xăng,465 triệu
25/09/2025,Kia Morning AT 2011,2011,Nhập khẩu,An Lão - Hải Phòng,Hatchback,120.000 km,Số tự động,Xe cũ,Máy xăng,208 triệu
13/10/2025,Honda CR-V 1.5 E 2019,2019,Nhập khẩu,An Dương - Hải Phòng,SUV,68.000 km,Số tự động,Xe cũ,Máy xăng,658 triệu
25/09/2025,Hyundai Accent 1.4 AT 2012,2012,Nhập khẩu,An Lão - Hải Phòng,,120.000 km,Số tự động,Xe cũ,Máy xăng,238 triệu
09/10/2025,Mercedes-Benz GLC 300 2025,2025,Trong nước,Hồng Bàng - Hải Phòng,SUV,01 km,Số tự động,Xe cũ,Máy xăng,2 tỉ 600 triệu
16/10/2025,Kia Sedona 3.3 GATH 2015,2015,Trong nước,Hoàng Mai - Hà Nội,MPV,160.000 km,Số tự động,Xe cũ,Máy xăng,488 triệu
16/10/2025,Hyundai Santa Fe SLX 2010,2010,Trong nước,Hoàng Mai - Hà Nội,SUV,10.000 km,Số tự động,Xe cũ,Máy dầu,410 triệu
16/10/2025,Ford EcoSport Titanium 1.5L AT 2021,2021,Trong nước,Hoàng Mai - Hà Nội,SUV,55.000 km,Số tự động,Xe cũ,Máy xăng,445 triệu
29/09/2025,Mazda CX-5 2.5 2WD 2016,2016,Trong nước,Hà Nội,SUV,38.000 km,Số tự động,Xe cũ,Máy xăng,505 triệu
29/09/2025,Ford Everest Titanium 2.0 AT 4x2 2023,2023,Trong nước,Hà Nội,SUV,50.000 km,Số tự động,Xe cũ,Máy dầu,1 tỉ 195 triệu
21/09/2025,Ford Everest Titanium 2.0L AT 4WD 2024,2024,Trong nước,Hà Nội,SUV,9.000 km,Số tự động,Xe cũ,Máy dầu,1 tỉ 415 triệu
29/09/2025,Hyundai Santa Fe 2.5 Xăng Cao cấp 2024,2024,Trong nước,Hà Nội,SUV,20.000 km,Số tự động,Xe cũ,Máy xăng,1 tỉ 190 triệu
15/10/2025,Volkswagen Polo 1.6AT 2016,2016,Nhập khẩu,Thuận An - Bình Dương,Hatchback,92.000 km,Số tự động,Xe cũ,Máy xăng,299 triệu
15/10/2025,Hyundai Genesis 2010,2010,Trong nước,Thuận An - Bình Dương,Sedan,98.000 km,Số tự động,Xe cũ,Máy xăng,350 triệu
15/10/2025,Hyundai Elantra   2.0 AT 2018,2018,Trong nước,Thuận An - Bình Dương,Sedan,52.000 km,Số tự động,Xe cũ,Máy xăng,445 triệu
15/10/2025,Kia Ray 2012,2012,Nhập khẩu,Thuận An - Bình Dương,MPV,63.000 km,Số tự động,Xe cũ,Máy xăng,430 triệu
15/10/2025,Ford Focus 2019,2019,Trong nước,Thuận An - Bình Dương,Sedan,80.000 km,Số tự động,Xe cũ,Máy xăng,435 triệu
08/10/2025,Mazda CX-8 Premium 2025,2025,Trong nước,Long Biên - Hà Nội,SUV,6.000 km,Số tự động,Xe cũ,Máy xăng,1 tỉ 040 triệu
08/10/2025,Lexus RX 350 2023,2023,Nhập khẩu,Long Biên - Hà Nội,SUV,52.000 km,Số tự động,Xe cũ,Máy xăng,3 tỉ 250 triệu
29/09/2025,Mercedes-Benz C200 Avantgarde 2023,2023,Trong nước,Quận 7 - Tp.HCM,,3.500 km,Số tự động,Xe cũ,Máy xăng,1 tỉ 398 triệu
08/10/2025,Hyundai Santa Fe 2.2 Dầu Cao cấp 2021,2021,Trong nước,Long Biên - Hà Nội,SUV,54.000 km,Số tự động,Xe cũ,Máy dầu,1 tỉ 030 triệu
13/10/2025,Nissan Navara 2017,2017,Nhập khẩu,Hà Đông - Hà Nội,,75.000 km,Số tự động,Xe cũ,Máy xăng,370 triệu
13/10/2025,Ford Ranger XLS 2.0L 4x2 AT 2018,2018,Trong nước,Hà Đông - Hà Nội,,120.000 km,Số tự động,Xe cũ,Máy xăng,470 triệu
13/10/2025,Mazda BT-50 1.9 AT 4x2 2020,2020,Nhập khẩu,Hà Đông - Hà Nội,Bán tải,70.000 km,Số tự động,Xe cũ,Máy dầu,470 triệu
09/10/2025,Mercedes-Benz GLC 200 4Matic 2025,2025,Trong nước,Hồng Bàng - Hải Phòng,SUV,500 km,Số tự động,Xe cũ,Máy xăng,2 tỉ 300 triệu
09/10/2025,Mercedes-Benz GLC 200 4Matic 2025,2025,Trong nước,Hoàn Kiếm - Hà Nội,SUV,500 km,Số tự động,Xe cũ,Máy xăng,2 tỉ 300 triệu
13/10/2025,VinFast Fadil Nâng Cao 2019,2019,Trong nước,Thuận An - Bình Dương,Hatchback,13.000 km,Số tự động,Xe cũ,Máy xăng,310 triệu
13/10/2025,Kia Morning AT 2017,2017,Trong nước,An Dương - Hải Phòng,Hatchback,40.306 km,Số tự động,Xe cũ,Máy xăng,300 triệu
09/10/2025,Toyota Corolla Altis 1.8 G 2019,2019,Trong nước,Hóc Môn - Tp.HCM,Sedan,85.000 km,Số tự động,Xe cũ,Máy xăng,485 triệu
09/10/2025,Ford EcoSport Titanium 1.0L AT 2016,2016,Trong nước,Hóc Môn - Tp.HCM,,40.000 km,Số tự động,Xe cũ,Máy xăng,325 triệu
07/10/2025,Kia Sportage 2.0D Signature 2022,2022,Trong nước,Đoan Hùng - Phú Thọ,SUV,50.000 km,Số tự động,Xe cũ,Máy dầu,785 triệu
24/09/2025,Mercedes-Benz GLC 300 4Matic 2023,2023,Trong nước,Quận 7 - Tp.HCM,,28.000 km,Số tự động,Xe cũ,Máy xăng,2 tỉ 298 triệu
23/09/2025,Ford Territory 1.5L Ecoboost Titanium 2024,2024,Nhập khẩu,Tân Phú - Tp.HCM,SUV,40.000 km,Số tự động,Xe cũ,Máy xăng,730 triệu
19/09/2025,Ford Ranger Wildtrak 2.0L 4x4 AT 2021,2021,Nhập khẩu,Tân Phú - Tp.HCM,Bán tải,60.000 km,Số tự động,Xe cũ,Máy dầu,750 triệu
25/09/2025,Ford Focus 1.5L Ecoboost Titanium 2018,2018,Trong nước,Tây Hồ - Hà Nội,Sedan,80.000 km,Số tự động,Xe cũ,Máy xăng,359 triệu
29/09/2025,Land Rover Range Rover Autobiography LWB 5.0 2022,2022,Nhập khẩu,Long Biên - Hà Nội,SUV,20.000 km,Số tự động,Xe cũ,Máy xăng,9 tỉ 850 triệu
24/09/2025,Kia Forte SX 1.6 AT 2009,2009,Trong nước,An Lão - Hải Phòng,Sedan,200.000 km,Số tự động,Xe cũ,Máy xăng,235 triệu
19/09/2025,Toyota Vios 1.5E MT 2018,2018,Trong nước,An Lão - Hải Phòng,Sedan,80.000 km,Số sàn,Xe cũ,Máy xăng,286 triệu
19/09/2025,Mitsubishi Xpander 1.5 MT 2019,2019,Nhập khẩu,An Lão - Hải Phòng,,90.000 km,Số sàn,Xe cũ,Máy xăng,379 triệu
25/09/2025,Suzuki Swift 1.4 AT 2017,2017,Nhập khẩu,Tây Hồ - Hà Nội,Hatchback,50.000 km,Số tự động,Xe cũ,Máy xăng,329 triệu
25/09/2025,Toyota Yaris 1.5G 2016,2016,Nhập khẩu,Tây Hồ - Hà Nội,Hatchback,67.000 km,Số tự động,Xe cũ,Máy xăng,359 triệu
25/09/2025,Mercedes-Benz GL 400 4Matic  2015,2015,Nhập khẩu,Cầu Giấy - Hà Nội,SUV,95.000 km,Số tự động,Xe cũ,Máy xăng,980 triệu
19/09/2025,Toyota Corolla Altis 2.0V Sport 2017,2017,Trong nước,Cầu Giấy - Hà Nội,Sedan,80.000 km,Số tự động,Xe cũ,Máy xăng,486 triệu
25/09/2025,Toyota Corolla Cross 1.8 V  2021,2021,Trong nước,Cầu Giấy - Hà Nội,Crossover,55.000 km,Số tự động,Xe cũ,Máy xăng,675 triệu
25/09/2025,Kia Carnival 2.2D Signature 2023,2023,Trong nước,Cầu Giấy - Hà Nội,MPV,60.000 km,Số tự động,Xe cũ,Máy dầu,1 tỉ 268 triệu
25/09/2025,Kia Carnival Royal 2023,2023,Trong nước,Bắc Từ Liêm - Hà Nội,MPV,22.000 km,Số tự động,Xe cũ,Máy xăng,1 tỉ 990 triệu
25/09/2025,Mercedes-Benz AMG G63 4.0 v8 2021,2021,Trong nước,Bắc Từ Liêm - Hà Nội,SUV,29.000 km,Số tự động,Xe cũ,Máy xăng,9 tỉ 390 triệu
25/09/2025,BMW X7 xDrive40i Msport 2022,2022,Nhập khẩu,Bắc Từ Liêm - Hà Nội,SUV,32.000 km,Số tự động,Xe cũ,Máy xăng,4 tỉ 399 triệu
25/09/2025,Rolls-Royce Ghost Series II  2015,2015,Nhập khẩu,Bắc Từ Liêm - Hà Nội,Sedan,18.000 km,Số tự động,Xe cũ,Máy xăng,9 tỉ 900 triệu
25/09/2025,Land Rover Range Rover Vogue SWB 3.0P 360PS 2018,2018,Nhập khẩu,Bắc Từ Liêm - Hà Nội,SUV,37.000 km,Số tự động,Xe cũ,Máy xăng,4 tỉ 680 triệu
25/09/2025,Lexus LM 350 2022,2022,Nhập khẩu,Bắc Từ Liêm - Hà Nội,MPV,45.000 km,Số tự động,Xe cũ,Máy xăng,5 tỉ 890 triệu
22/09/2025,Porsche Macan  2017,2017,Nhập khẩu,Quận 10 - Tp.HCM,SUV,50.000 km,Số tự động,Xe cũ,Máy xăng,1 tỉ 550 triệu
19/09/2025,Ford Everest Titanium 2.0 AT 4x2 2023,2023,Nhập khẩu,Cầu Giấy - Hà Nội,SUV,40.000 km,Số tự động,Xe cũ,Máy dầu,1 tỉ 190 triệu
20/09/2025,Mercedes-Benz GLS 450 4Matic 2021,2021,Nhập khẩu,Cầu Giấy - Hà Nội,SUV,65.000 km,Số tự động,Xe cũ,Máy xăng,3 tỉ 889 triệu
28/08/2025,Mazda 6 2.0 Premium 2021,2021,Trong nước,Phú Nhuận - Tp.HCM,Sedan,12.000 km,Số hỗn hợp,Xe cũ,Máy xăng,645 triệu
18/10/2025,Subaru Tribeca 3.6R 2013,2013,Nhập khẩu,Dĩ An - Bình Dương,SUV,130.000 km,Số tự động,Xe cũ,Máy xăng,439 triệu
18/10/2025,Kia Morning Luxury 2020,2020,Trong nước,Dĩ An - Bình Dương,Hatchback,60.000 km,Số tự động,Xe cũ,Máy xăng,299 triệu
18/10/2025,Suzuki Ertiga Hybrid Ertiga AT 2022,2022,Nhập khẩu,Dĩ An - Bình Dương,,58.000 km,Số tự động,Xe cũ,Máy xăng,429 triệu
18/10/2025,VinFast LUX SA2.0 Cao cấp 2020,2020,Trong nước,Dĩ An - Bình Dương,SUV,89.000 km,Số tự động,Xe cũ,Máy xăng,669 triệu
18/10/2025,Kia Morning AT 2011,2011,Nhập khẩu,Dĩ An - Bình Dương,Hatchback,133.000 km,Số tự động,Xe cũ,Máy xăng,209 triệu
18/10/2025,Mercedes-Benz AMG G63 4.0 v8 2020,2020,Nhập khẩu,Quận 7 - Tp.HCM,SUV,14.000 km,Số tự động,Xe cũ,Máy xăng,7 tỉ 999 triệu
29/09/2025,BMW 430i Convertible 2023,2023,Nhập khẩu,Quận 7 - Tp.HCM,Convertible,14.500 km,Số tự động,Xe cũ,Máy xăng,2 tỉ 999 triệu
17/10/2025,Nissan Kicks V 2023,2023,Nhập khẩu,Quận 2 - Tp.HCM,Crossover,800 km,Số tự động,Xe cũ,Hybrid,668 triệu
05/10/2025,Mercedes-Benz V250 Luxury 2022,2022,Nhập khẩu,Quận 7 - Tp.HCM,Van/Minivan,40.000 km,Số tự động,Xe cũ,Máy xăng,1 tỉ 899 triệu
16/10/2025,Toyota Innova 2.0G 2006,2006,Trong nước,Thanh Xuân - Hà Nội,MPV,250.000 km,Số sàn,Xe cũ,Máy xăng,165 triệu
17/10/2025,Hyundai Tucson 1.6 Turbo HTRAC 2025,2025,Trong nước,Bắc Ninh,SUV,4.000 km,Số tự động,Xe cũ,Máy xăng,950 triệu
23/09/2025,Toyota Alphard Executive Lounge 2019,2019,Nhập khẩu,Quận 7 - Tp.HCM,MPV,82.000 km,Số tự động,Xe cũ,Máy xăng,2 tỉ 999 triệu
04/10/2025,BMW 320i M Sport 2023,2023,Nhập khẩu,Quận 7 - Tp.HCM,Sedan,36.000 km,Số tự động,Xe cũ,Máy xăng,1 tỉ 399 triệu
16/10/2025,Mazda 3 Sedan 1.5L Luxury 2023,2023,Trong nước,Dương Kinh - Hải Phòng,Sedan,19.000 km,Số tự động,Xe cũ,Máy xăng,579 triệu
14/10/2025,Porsche 911 Carrera S 2021,2021,Nhập khẩu,Quận 7 - Tp.HCM,Sport Car,15.555 km,Số tự động,Xe cũ,Máy xăng,7 tỉ 799 triệu
19/09/2025,Mazda CX-5 2.0 AWD 2015,2015,Trong nước,Đoan Hùng - Phú Thọ,SUV,150.000 km,Số tự động,Xe cũ,Máy xăng,465 triệu
13/10/2025,Volvo S90 Inscription 2022,2022,Nhập khẩu,Bình Tân - Tp.HCM,Sedan,6.300 km,Số tự động,Xe cũ,Máy xăng,1 tỉ 799 triệu
13/10/2025,Kia Sorento 2.2D Luxury 2020,2020,Trong nước,Bình Tân - Tp.HCM,SUV,51.000 km,Số tự động,Xe cũ,Máy dầu,799 triệu
09/10/2025,Mercedes-Benz C300 AMG 2021,2021,Trong nước,Bình Tân - Tp.HCM,Sedan,49.000 km,Số tự động,Xe cũ,Máy xăng,1 tỉ 199 triệu
15/10/2025,Mercedes-Benz CLA 250 2.0 I4 2016,2016,Nhập khẩu,Bắc Từ Liêm - Hà Nội,Sedan,100.000 km,Số tự động,Xe cũ,Máy xăng,600 triệu
13/10/2025,Toyota Wigo 1.2 G MT 2023,2023,Nhập khẩu,Đoan Hùng - Phú Thọ,Hatchback,40.000 km,Số sàn,Xe cũ,Máy xăng,265 triệu
08/10/2025,Mitsubishi Jolie 2005,2005,Trong nước,Vĩnh Phúc,SUV,222.000 km,Số sàn,Xe cũ,Máy xăng,110 triệu
27/09/2025,Ford EcoSport Trend 1.5 MT 2017,2017,Trong nước,Đoan Hùng - Phú Thọ,SUV,100.000 km,Số sàn,Xe cũ,Máy xăng,275 triệu
13/10/2025,Toyota Vios 1.5E MT 2024,2024,Trong nước,Đoan Hùng - Phú Thọ,Sedan,36.000 km,Số sàn,Xe cũ,Máy xăng,375 triệu
07/10/2025,BMW X6 xDrive35i 2008,2008,Nhập khẩu,Đoan Hùng - Phú Thọ,SUV,150.000 km,Số tự động,Xe cũ,Máy xăng,330 triệu
07/10/2025,Hyundai Grand i10 Sedan 1.2 MT 2016,2016,Nhập khẩu,Đoan Hùng - Phú Thọ,Sedan,200.000 km,Số sàn,Xe cũ,Máy xăng,155 triệu
28/09/2025,Lexus RX 350 2019,2019,Nhập khẩu,Quận 7 - Tp.HCM,SUV,43.000 km,Số tự động,Xe cũ,Máy xăng,2 tỉ 650 triệu
25/09/2025,Porsche Macan  2022,2022,Nhập khẩu,Quận 7 - Tp.HCM,SUV,10.000 km,Số tự động,Xe cũ,Máy xăng,3 tỉ 399 triệu
19/09/2025,Mazda 6 2.0 AT 2018,2018,Trong nước,Đoan Hùng - Phú Thọ,Sedan,100.000 km,Số tự động,Xe cũ,Máy xăng,505 triệu
18/10/2025,Peugeot 5008 GT 2019,2019,Trong nước,Đông Sơn - Thanh Hóa,SUV,72.000 km,Số tự động,Xe cũ,Máy xăng,630 triệu
16/10/2025,Chevrolet Captiva LTZ AT 2015,2015,Trong nước,Quận 10 - Tp.HCM,SUV,67.000 km,Số tự động,Xe cũ,Máy xăng,365 triệu
11/10/2025,Mazda 2 1.5AT 2016,2016,Trong nước,Đông Sơn - Thanh Hóa,Sedan,80 km,Số tự động,Xe cũ,Máy xăng,290 triệu
11/10/2025,Ford Ranger XLS 2.0L 4x2 AT 2015,2015,Nhập khẩu,Đông Sơn - Thanh Hóa,Bán tải,90 km,Số tự động,Xe cũ,Máy dầu,360 triệu
03/10/2025,Kia Sedona 2.2 Luxury 2020,2020,Trong nước,Quận 10 - Tp.HCM,MPV,69.000 km,Số tự động,Xe cũ,Máy dầu,795 triệu
16/10/2025,Toyota Wigo 1.2 G AT 2020,2020,Nhập khẩu,Quận 10 - Tp.HCM,Hatchback,30.000 km,Số tự động,Xe cũ,Máy xăng,295 triệu
29/09/2025,Mercedes-Benz S450L 2018,2018,Trong nước,Tp.HCM,Sedan,58.000 km,Số tự động,Xe cũ,Máy xăng,1 tỉ 999 triệu
29/09/2025,Porsche Macan tiêu chuẩn 2021,2021,Nhập khẩu,Tp.HCM,SUV,57.000 km,Số tự động,Xe cũ,Máy xăng,2 tỉ 999 triệu
10/10/2025,Porsche Macan tiêu chuẩn 2021,2021,Nhập khẩu,Tp.HCM,SUV,45.000 km,Số tự động,Xe cũ,Máy xăng,2 tỉ 999 triệu
17/10/2025,Mercedes-Benz S450L Luxury 2017,2017,Trong nước,Tp.HCM,Sedan,130.000 km,Số tự động,Xe cũ,Máy xăng,1 tỉ 898 triệu
29/09/2025,Mercedes-Benz Maybach S450 4Matic 2017,2017,Nhập khẩu,Tp.HCM,Sedan,66.000 km,Số tự động,Xe cũ,Máy xăng,3 tỉ 299 triệu
10/10/2025,Land Rover Range Rover Evoque Prestige 2012,2012,Nhập khẩu,Nam Từ Liêm - Hà Nội,SUV,67.000 km,Số tự động,Xe cũ,Máy xăng,499 triệu
18/10/2025,Toyota Hilux 2.4E 4×2 AT 2024,2024,Trong nước,Thanh Xuân - Hà Nội,Bán tải,29.000 km,Số tự động,Xe cũ,Máy dầu,665 triệu
03/10/2025,Toyota Innova 2.0E 2020,2020,Trong nước,Quận 10 - Tp.HCM,MPV,78.000 km,Số sàn,Xe cũ,Máy xăng,468 triệu
12/10/2025,Mazda CX-5 2.0 Premium 2024,2024,Trong nước,Nam Từ Liêm - Hà Nội,SUV,9.000 km,Số tự động,Xe cũ,Máy xăng,800 triệu
23/09/2025,Ford Ranger XLS 2.0L 4x2 AT 2015,2015,Trong nước,Nam Từ Liêm - Hà Nội,Bán tải,120.000 km,Số tự động,Xe cũ,Máy dầu,350 triệu
22/09/2025,Ford Everest Sport 2.0 AT 4x2 2021,2021,Trong nước,Nam Từ Liêm - Hà Nội,SUV,58.000 km,Số tự động,Xe cũ,Máy dầu,800 triệu
16/10/2025,Toyota Innova 2.0E 2017,2017,Trong nước,Quận 10 - Tp.HCM,MPV,78.000 km,Số sàn,Xe cũ,Máy xăng,365 triệu
11/10/2025,Mazda BT-50 1.9 AT 4x2 2017,2017,Nhập khẩu,Đông Sơn - Thanh Hóa,Bán tải,90 km,Số tự động,Xe cũ,Máy dầu,390 triệu
22/09/2025,Hyundai Grand Starex 2.4 MT 2017,2017,Nhập khẩu,Đông Anh - Hà Nội,Van/Minivan,15.000 km,Số sàn,Xe cũ,Máy dầu,450 triệu
16/10/2025,Kia Sedona 3.3 GATH 2018,2018,Trong nước,Quận 10 - Tp.HCM,Van/Minivan,69.000 km,Số tự động,Xe cũ,Máy xăng,598 triệu
28/09/2025,Ford Fiesta S 1.6 AT 2011,2011,Trong nước,Quy Nhơn - Bình Định,Hatchback,66.000 km,Số tự động,Xe cũ,Máy xăng,197 triệu
28/09/2025,Hyundai Santa Fe 2.4L Xăng Đặc biệt 2018,2018,Trong nước,Quy Nhơn - Bình Định,SUV,122.000 km,Số tự động,Xe cũ,Máy xăng,580 triệu
28/09/2025,Kia Sonet 1.5 Premium 2022,2022,Trong nước,Quy Nhơn - Bình Định,SUV,67.000 km,Số tự động,Xe cũ,Máy xăng,518 triệu
28/09/2025,Toyota Corolla Altis 1.8 G 2009,2009,Trong nước,Quy Nhơn - Bình Định,Sedan,107.000 km,Số tự động,Xe cũ,Máy xăng,280 triệu
27/09/2025,Hyundai Grand i10 Hatchback 1.2 AT 2010,2010,Trong nước,Quy Nhơn - Bình Định,Hatchback,140 km,Số tự động,Xe cũ,Máy xăng,185 triệu
17/10/2025,Mercedes-Benz GLC 300 4Matic Coupe 2022,2022,Nhập khẩu,Quận 7 - Tp.HCM,SUV,54.000 km,Số tự động,Xe cũ,Máy xăng,1 tỉ 898 triệu
17/10/2025,Ford Territory Titanium X 2025,2025,Trong nước,Kiến An - Hải Phòng,SUV,10.000 km,Số tự động,Xe cũ,Máy xăng,875 triệu
14/10/2025,Mercedes-Benz GLC 200 4Matic 2021,2021,Nhập khẩu,Kiến An - Hải Phòng,SUV,75.000 km,Số tự động,Xe cũ,Máy xăng,1 tỉ 320 triệu
13/10/2025,Mercedes-Benz C200 Exclusive 2019,2019,Trong nước,Kiến An - Hải Phòng,Sedan,58.000 km,Số tự động,Xe cũ,Máy xăng,850 triệu
10/10/2025,VinFast LUX A2.0 Nâng cao 2021,2021,Trong nước,Kiến An - Hải Phòng,Sedan,36.000 km,Số tự động,Xe cũ,Máy xăng,555 triệu
06/10/2025,Kia Sonet 1.5 Deluxe 2023,2023,Trong nước,Kiến An - Hải Phòng,,24.000 km,Số tự động,Xe cũ,Máy xăng,495 triệu
06/10/2025,Mercedes-Benz E200 E200 2019,2019,Nhập khẩu,Kiến An - Hải Phòng,Sedan,40.000 km,Số tự động,Xe cũ,Máy xăng,1 tỉ 055 triệu
29/09/2025,Toyota Corolla Cross 1.8 V  2021,2021,Trong nước,Kiến An - Hải Phòng,,61.000 km,Số tự động,Xe cũ,Máy xăng,685 triệu
21/09/2025,Kia K3 2.0 Premium 2022,2022,Trong nước,Kiến An - Hải Phòng,Sedan,40.000 km,Số tự động,Xe cũ,Máy xăng,525 triệu
20/09/2025,Mercedes-Benz GLC 250 4Matic 2017,2017,Nhập khẩu,Kiến An - Hải Phòng,SUV,94.000 km,Số tự động,Xe cũ,Máy xăng,785 triệu
11/10/2025,Mercedes-Benz GLC 200 4Matic 2018,2018,Trong nước,Kiến An - Hải Phòng,SUV,86.000 km,Số tự động,Xe cũ,Máy xăng,845 triệu
11/10/2025,Honda City 1.5 L 2022,2022,Trong nước,Kiến An - Hải Phòng,Sedan,70.000 km,Số tự động,Xe cũ,Máy xăng,435 triệu
10/10/2025,Mazda 2 Sport 1.5L Premium 2021,2021,Nhập khẩu,Kiến An - Hải Phòng,Sport Car,60.000 km,Số tự động,Xe cũ,Máy xăng,455 triệu
18/10/2025,Porsche Macan 2.0 2021,2021,Nhập khẩu,Bình Tân - Tp.HCM,SUV,48.000 km,Số tự động,Xe cũ,Máy xăng,2 tỉ 799 triệu
16/10/2025,Mazda 2 1.5AT 2013,2013,Nhập khẩu,Hoàng Mai - Hà Nội,Hatchback,90.000 km,Số tự động,Xe cũ,Máy xăng,195 triệu
22/09/2025,Kia Sorento 2WD 2.4 GAT 2020,2020,Trong nước,Hoàng Mai - Hà Nội,SUV,77.000 km,Số tự động,Xe cũ,Máy xăng,565 triệu
30/09/2025,BMW 730Li 2011,2011,Nhập khẩu,Hoàng Mai - Hà Nội,Sedan,83.000 km,Số tự động,Xe cũ,Máy xăng,565 triệu
